"","GEOID","NAME","TotPop","White","Black","AI","Asian","Pac_il","Other_Race","Multi_Race","MedInc","Pop25","HS","GED","Assoc","Bach","Mast","ProfDeg","Doct","TotalHouse","Occupied","Vacant","TotalOcc","Own","Rent"
"39","42101028700","Census Tract 287, Philadelphia County, Pennsylvania",2688,620,559,0,27,0,1200,282,23160,1289,406,54,44,45,0,0,24,869,783,86,783,366,417
"40","42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania",4162,3204,232,0,207,0,0,519,103426,3343,174,25,97,1287,832,461,139,2054,1990,64,1990,1064,926
"41","42101008801","Census Tract 88.01, Philadelphia County, Pennsylvania",2069,973,196,8,517,0,187,188,36250,452,0,0,0,242,104,37,63,553,356,197,356,0,356
"42","42101034900","Census Tract 349, Philadelphia County, Pennsylvania",5629,2997,1584,0,279,0,344,425,56073,3956,1550,247,339,420,296,30,0,2359,2245,114,2245,1523,722
"43","42101027700","Census Tract 277, Philadelphia County, Pennsylvania",5179,109,4699,0,129,0,24,218,29574,4039,1227,713,111,340,77,0,0,2756,2393,363,2393,1402,991
"44","42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania",4804,159,4591,0,53,0,0,1,56679,3728,721,157,314,586,342,38,0,2182,1984,198,1984,1428,556
"45","42101030200","Census Tract 302, Philadelphia County, Pennsylvania",8697,1861,4305,27,161,0,1486,857,56122,5338,1977,413,295,361,179,0,107,2962,2817,145,2817,1873,944
"46","42101033000","Census Tract 330, Philadelphia County, Pennsylvania",10074,4933,1747,26,682,0,1340,1346,46884,5748,1473,520,386,633,388,64,0,3221,3148,73,3148,1852,1296
"47","42101001204","Census Tract 12.04, Philadelphia County, Pennsylvania",2958,2418,122,5,238,20,0,155,82115,2436,78,19,80,1076,378,374,202,2104,1732,372,1732,545,1187
"48","42101016400","Census Tract 164, Philadelphia County, Pennsylvania",4378,406,1745,0,131,0,1925,171,17389,2794,769,302,95,86,0,14,0,2041,1782,259,1782,464,1318
"49","42101020000","Census Tract 200, Philadelphia County, Pennsylvania",1126,57,551,0,132,0,386,0,11955,547,180,24,35,81,27,6,0,669,487,182,487,167,320
"50","42101036400","Census Tract 364, Philadelphia County, Pennsylvania",1032,841,137,0,8,0,21,25,110139,1016,365,44,63,102,54,0,44,318,294,24,294,273,21
"51","42101006700","Census Tract 67, Philadelphia County, Pennsylvania",7901,369,6830,10,272,0,103,317,39927,4666,1890,96,596,249,116,24,3,3238,2908,330,2908,1277,1631
"52","42101028500","Census Tract 285, Philadelphia County, Pennsylvania",2735,251,979,0,419,6,850,230,49167,1844,481,122,230,52,22,0,0,1174,1116,58,1116,616,500
"53","42101008500","Census Tract 85, Philadelphia County, Pennsylvania",6244,530,5277,161,110,0,22,144,41974,4558,1429,205,210,707,146,8,63,3601,3002,599,3002,1133,1869
"54","42101013500","Census Tract 135, Philadelphia County, Pennsylvania",4015,3221,593,0,164,0,6,31,133125,3053,267,27,38,1433,654,235,101,1824,1625,199,1625,1029,596
"55","42101989200","Census Tract 9892, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","42101038301","Census Tract 383.01, Philadelphia County, Pennsylvania",2395,532,960,0,0,0,665,238,NA,1799,731,56,193,94,26,0,0,883,701,182,701,326,375
"57","42101026200","Census Tract 262, Philadelphia County, Pennsylvania",3925,73,3769,0,28,0,55,0,62098,3193,955,85,322,548,327,95,0,1832,1689,143,1689,1418,271
"58","42101014600","Census Tract 146, Philadelphia County, Pennsylvania",4232,1343,1936,2,658,0,31,262,35600,1464,506,43,102,137,73,31,7,1268,1140,128,1140,452,688
"59","42101008301","Census Tract 83.01, Philadelphia County, Pennsylvania",4483,124,4049,5,0,0,13,292,35961,3093,914,117,321,449,39,0,1,1996,1627,369,1627,726,901
"60","42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania",5061,31,4727,6,36,0,53,208,21427,3212,1153,273,95,102,105,27,13,2297,1813,484,1813,523,1290
"61","42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania",3197,52,2923,12,107,0,0,103,22628,2397,1042,313,162,117,180,0,36,2227,1758,469,1758,470,1288
"62","42101006000","Census Tract 60, Philadelphia County, Pennsylvania",6239,451,4751,0,278,0,385,374,46987,4091,1575,189,304,458,228,61,0,2693,2400,293,2400,1426,974
"63","42101019800","Census Tract 198, Philadelphia County, Pennsylvania",6090,935,1325,0,345,0,2983,502,28971,3601,1113,259,290,273,81,0,58,2422,2130,292,2130,1322,808
"64","42101002801","Census Tract 28.01, Philadelphia County, Pennsylvania",4500,2393,42,18,1201,71,513,262,67021,3144,382,231,323,551,354,62,42,1791,1651,140,1651,767,884
"65","42101036902","Census Tract 369.02, Philadelphia County, Pennsylvania",5912,3448,878,11,1247,0,120,208,27821,820,70,9,13,317,155,36,99,1022,912,110,912,0,912
"66","42101007900","Census Tract 79, Philadelphia County, Pennsylvania",4321,2289,877,0,368,49,155,583,72847,3366,229,41,53,1091,733,202,392,2307,2204,103,2204,943,1261
"67","42101031600","Census Tract 316, Philadelphia County, Pennsylvania",6746,2979,1789,0,1281,0,450,247,61436,4621,1679,104,392,343,151,2,29,2261,2132,129,2132,1253,879
